Token,Strategy,TF,PF,WR%,Trades,MaxDD%,NetPft%,Status
SOL,Supertrend,1H,0.64,33.3,24,18.4,-12.0,"FAIL (PF 0.64, 24 trades, NP -12.0%)"
ETH,Supertrend,1H,1.15,45.9,37,20.3,10.2,FAIL (PF 1.15)
JTO,Supertrend,1H,0.05,18.8,16,89.9,-86.1,"FAIL (PF 0.05, WR 18.8%, 16 trades, DD 89.9%, NP -86.1%)"
WIF,Supertrend,1H,0.28,27.3,55,73.3,-73.5,"FAIL (PF 0.28, WR 27.3%, DD 73.3%, NP -73.5%)"
BONK,Supertrend,1H,0.42,24.1,54,43.3,-43.3,"FAIL (PF 0.42, WR 24.1%, DD 43.3%, NP -43.3%)"
ORCA,Supertrend,1H,0.00,7.7,26,98.1,-98.1,"FAIL (PF 0.00, WR 7.7%, 26 trades, DD 98.1%, NP -98.1%)"
RENDER,Supertrend,1H,0.23,22.9,83,77.8,-75.9,"FAIL (PF 0.23, WR 22.9%, DD 77.8%, NP -75.9%)"
SOL,Donchian,1H,1.51,39.1,46,13.2,34.6,PASS
ETH,Donchian,1H,1.01,34.0,53,14.5,0.7,FAIL (PF 1.01)
JTO,Donchian,1H,0.04,16.7,18,90.8,-88.9,"FAIL (PF 0.04, WR 16.7%, 18 trades, DD 90.8%, NP -88.9%)"
WIF,Donchian,1H,0.29,27.5,51,65.5,-65.6,"FAIL (PF 0.29, WR 27.5%, DD 65.5%, NP -65.6%)"
BONK,Donchian,1H,1.04,36.7,49,16.8,2.9,FAIL (PF 1.04)
ORCA,Donchian,1H,0.00,4.5,22,95.6,-95.7,"FAIL (PF 0.00, WR 4.5%, 22 trades, DD 95.6%, NP -95.7%)"
RENDER,Donchian,1H,0.39,27.0,63,60.1,-59.7,"FAIL (PF 0.39, WR 27.0%, DD 60.1%, NP -59.7%)"
SOL,EMA Ribbon,1H,0.77,24.4,123,42.1,-28.9,"FAIL (PF 0.77, WR 24.4%, DD 42.1%, NP -28.9%)"
ETH,EMA Ribbon,1H,0.65,23.9,134,55.4,-42.1,"FAIL (PF 0.65, WR 23.9%, DD 55.4%, NP -42.1%)"
JTO,EMA Ribbon,1H,0.06,23.5,17,90.5,-89.6,"FAIL (PF 0.06, WR 23.5%, 17 trades, DD 90.5%, NP -89.6%)"
WIF,EMA Ribbon,1H,0.35,29.5,61,70.2,-70.2,"FAIL (PF 0.35, WR 29.5%, DD 70.2%, NP -70.2%)"
BONK,EMA Ribbon,1H,0.39,22.0,127,71.9,-72.0,"FAIL (PF 0.39, WR 22.0%, DD 71.9%, NP -72.0%)"
ORCA,EMA Ribbon,1H,0.00,4.5,22,96.7,-96.7,"FAIL (PF 0.00, WR 4.5%, 22 trades, DD 96.7%, NP -96.7%)"
RENDER,EMA Ribbon,1H,0.35,19.6,143,85.6,-85.3,"FAIL (PF 0.35, WR 19.6%, DD 85.6%, NP -85.3%)"
SOL,VWAP Dev,1H,0.33,50.7,73,50.2,-48.0,"FAIL (PF 0.33, DD 50.2%, NP -48.0%)"
ETH,VWAP Dev,1H,0.56,56.4,78,39.2,-30.0,"FAIL (PF 0.56, DD 39.2%, NP -30.0%)"
JTO,VWAP Dev,1H,0.66,25.0,4,8.1,-3.1,"FAIL (PF 0.66, WR 25.0%, 4 trades, NP -3.1%)"
WIF,VWAP Dev,1H,1.12,33.3,36,11.6,5.3,FAIL (PF 1.12)
BONK,VWAP Dev,1H,0.74,52.1,71,29.8,-20.9,"FAIL (PF 0.74, NP -20.9%)"
ORCA,VWAP Dev,1H,5.79,58.3,12,12.7,77.6,FAIL (12 trades)
RENDER,VWAP Dev,1H,1.68,72.7,66,13.2,44.0,PASS
SOL,Stoch RSI,1H,0.64,49.2,65,48.9,-36.9,"FAIL (PF 0.64, DD 48.9%, NP -36.9%)"
ETH,Stoch RSI,1H,0.57,47.9,71,43.8,-35.9,"FAIL (PF 0.57, DD 43.8%, NP -35.9%)"
JTO,Stoch RSI,1H,99.00,100.0,2,0.0,10.5,FAIL (2 trades)
WIF,Stoch RSI,1H,15.17,70.6,17,5.4,170.4,FAIL (17 trades)
BONK,Stoch RSI,1H,0.76,47.1,51,41.4,-18.8,"FAIL (PF 0.76, DD 41.4%, NP -18.8%)"
ORCA,Stoch RSI,1H,2.12,28.6,7,1.3,3.9,"FAIL (WR 28.6%, 7 trades)"
RENDER,Stoch RSI,1H,0.62,52.7,55,42.0,-38.5,"FAIL (PF 0.62, DD 42.0%, NP -38.5%)"
SOL,Supertrend,4H,1.78,44.0,25,21.8,66.3,FAIL (25 trades)
ETH,Supertrend,4H,1.40,41.4,29,18.3,30.0,FAIL (29 trades)
JTO,Supertrend,4H,0.56,32.7,52,91.5,-89.8,"FAIL (PF 0.56, DD 91.5%, NP -89.8%)"
WIF,Supertrend,4H,0.72,41.3,46,54.9,-43.9,"FAIL (PF 0.72, DD 54.9%, NP -43.9%)"
BONK,Supertrend,4H,0.76,27.0,37,69.3,-50.8,"FAIL (PF 0.76, WR 27.0%, DD 69.3%, NP -50.8%)"
ORCA,Supertrend,4H,0.04,19.2,52,99.9,-99.9,"FAIL (PF 0.04, WR 19.2%, DD 99.9%, NP -99.9%)"
