strategy,token,timeframe,sl_mult,tp_mult,pf,win_rate,trades,max_dd,net_profit,sharpe,avg_rr,score,passed,reject_reason
Mean Rev,SOL,1H,1.0,1.5,1.28,70.0,10,4.8,3.6,0.29,1.19,0.4267,True,
Mean Rev,SOL,1H,1.0,2.0,1.11,60.0,10,4.9,1.4,0.14,1.08,0.37,True,
Mean Rev,SOL,1H,1.0,2.5,1.19,60.0,10,4.9,2.4,0.21,1.13,0.3967,True,
Mean Rev,SOL,1H,1.0,3.0,1.74,66.7,9,4.9,7.0,0.54,1.2,0.522,True,
Mean Rev,SOL,1H,1.0,4.0,1.94,66.7,9,4.9,9.1,0.62,1.31,0.582,True,
Mean Rev,SOL,1H,1.0,5.0,2.15,66.7,9,4.9,11.2,0.68,1.43,0.645,True,
Mean Rev,SOL,1H,1.25,1.5,2.02,80.0,10,4.2,7.6,0.69,1.09,0.6733,True,
Mean Rev,SOL,1H,1.25,2.0,1.82,70.0,10,4.3,6.1,0.57,1.02,0.6067,True,
Mean Rev,SOL,1H,1.25,2.5,1.93,70.0,10,4.3,7.0,0.63,1.06,0.6433,True,
Mean Rev,SOL,1H,1.25,3.0,3.59,77.8,9,4.3,11.3,1.02,1.11,1.077,True,
Mean Rev,SOL,1H,1.25,4.0,3.99,77.8,9,4.3,13.0,1.06,1.2,1.197,True,
Mean Rev,SOL,1H,1.25,5.0,4.39,77.8,9,4.3,14.7,1.07,1.29,1.317,True,
Mean Rev,SOL,1H,1.5,2.0,1.71,66.7,9,3.9,4.9,0.5,0.97,0.513,True,
Mean Rev,SOL,1H,1.5,2.5,1.81,66.7,9,3.9,5.6,0.55,1.01,0.543,True,
Mean Rev,SOL,1H,1.5,3.0,3.4,75.0,8,3.9,9.5,0.95,1.05,0.9067,True,
Mean Rev,SOL,1H,1.5,4.0,3.77,75.0,8,3.9,10.9,1.0,1.13,1.0053,True,
Mean Rev,SOL,1H,1.5,5.0,4.13,75.0,8,3.9,12.3,1.02,1.22,1.1013,True,
Mean Rev,SOL,1H,2.0,2.5,13.46,77.8,9,0.7,9.8,1.51,0.77,4.038,True,
Mean Rev,SOL,1H,2.0,3.0,132.64,87.5,8,0.1,10.6,1.61,0.88,35.3707,True,
Mean Rev,SOL,1H,2.0,4.0,146.15,87.5,8,0.1,11.7,1.58,0.94,38.9733,True,
Mean Rev,SOL,1H,2.0,5.0,159.66,87.5,8,0.1,12.8,1.53,1.0,42.576,True,
Mean Rev,SOL,1H,2.5,3.0,110.53,87.5,8,0.1,7.1,1.51,0.69,29.4747,True,
Mean Rev,SOL,1H,2.5,4.0,123.66,87.5,8,0.1,7.9,1.48,0.74,32.976,True,
Mean Rev,SOL,1H,2.5,5.0,136.78,87.5,8,0.1,8.8,1.42,0.79,36.4747,True,
